UID,V1,V2,COMMENTS
FHSY,chlü(ü)be,,
FIBD,chnüüble,,chniplä
FIKU,chnüüble,,
FJCF,chlömme,,
FJHI,chlempe,,
FJJI,chnüüble,,
FJTV,chlü(ü)be,,
FLCV,chlü(ü)be,,
FLKN,chlemme,,
FMFX,chlemme,,
FMHR,chlü(ü)be,,
FMOO,chlü(ü)be,,
FNGR,chlü(ü)be,,
FNUF,chlü(ü)be,,
FNVT,chlü(ü)be,,
FONZ,chlemme,,
FOPS,chlemme,,
FPFX,chlü(ü)be,,
FPKO,chlemme,,
FPZN,chnüüble,,
FQAF,chlempe,,
FQWL,SDATS_zwicke/zwigge,,
FQYS,chnüüble,,
FRBT,chlempe,zwäärge,
FRFQ,chlempe,,
FRWW,chnüüble,,
FSTE,chlü(ü)be,,
FSUY,chlü(ü)pe,,
FSWB,chlemme,,
FTDY,chlemme,,
FTFT,SDATS_kneife,,
FVIK,zwäärge,,
FVIZ,zwänggu/-e_zwenggu/-e,,
FVTU,chlemme,,
FWAG,chlimse,,
FWND,zwänggu/-e_zwenggu/-e,,
FXCQ,chlü(ü)be,,
FXKN,chlemme,,
FYQI,chlü(ü)be,,
FZPW,chlü(ü)be,,
GAUD,chnüüble,,
GAZV,chnüüble,,
GBTH,chlemme,,
GDJE,chlemme,,
GFKH,chlü(ü)be,,
GFPM,chlemme,,
GFYZ,pitzge,,
GGLE,SDATS_zwicke/zwigge,,zwicke
GGSX,chlü(ü)be,,
GHGD,chnüüble,,zwicke
GHLF,chnüüble,,
GHMK,chlü(ü)be,,chluibe
GHXY,chlemme,,
GIIR,chlü(ü)be,,
GIOH,chlü(ü)be,,
GIQG,chlempe,,
GIWV,zwänggu/-e_zwenggu/-e,,
GJCI,zwäärge,,zwärgu
GKBE,chlemme,,
GKBV,SDATS_zwicke/zwigge,,zwicke
GMMO,chlemme,,
GMWW,chlü(ü)be,,
GNBU,chnüüble,,
GNMQ,chlempe,,
GOAU,chlemme,,
GOLW,zwiirg(g)e,,
GOOB,chlömme,,
GOQI,chlemme,,
GOSY,chlü(ü)pe,,
GOYC,chnüüble,,chniple
GPAK,chlü(ü)be,,
GPGA,chlü(ü)be,,
GRAR,chlimse,,
GRPJ,chlemme,,
GSLS,chlemme,,
GUTF,chlemme,,
GVNN,SDATS_zwicke/zwigge,,zwicke
GVUS,zwänggu/-e_zwenggu/-e,,
GWOX,chlemme,,
GXEB,zwänggu/-e_zwenggu/-e,,
GYBZ,chlemme,,
GYUD,chlü(ü)be,,
GZMD,chlemme,,
HBBQ,chlemme,,
HCIF,chlemme,,
HDLV,chlü(ü)be,,
HDNF,chlü(ü)be,,
HEHU,chlü(ü)be,,
HEVH,chlemme,,
HFCS,zwänggu/-e_zwenggu/-e,,
HFSV,chlemme,,
HGBP,chlü(ü)be,,
HGYK,chlü(ü)be,,
HHHE,zwänggu/-e_zwenggu/-e,,
HIGZ,SDATS_kneife,,
HKRF,chlü(ü)be,,
HLFM,chlimse,,
HMXR,SDATS_kneife,,
HPNB,chlü(ü)be,,
HPYW,chlimse,,
HQPB,zwänggu/-e_zwenggu/-e,,
HUBI,chlemme,,
HUDO,chlü(ü)be,,
HUYI,chlemme,,
HVLO,chlü(ü)be,,
HWDZ,chnüüble,,
HWOL,chlemme,,
HWTX,chlimse,,
HWYK,chlü(ü)be,,
HXHY,chlü(ü)be,,
HXVS,chlemme,,
HXZZ,chlemme,,
HZBG,chlemme,,
HZRN,chlü(ü)be,,
HZVF,chlempe,,
IATI,pitzge,,
IBYY,chlü(ü)be,,
IDFP,zwiirg(g)e,,
IEEA,chlü(ü)pe,,
IGCP,chlü(ü)be,,
IGVA,zwänggu/-e_zwenggu/-e,,
IHIF,chlemme,pfätze,
IJMG,zwänggu/-e_zwenggu/-e,,
IJQQ,chlü(ü)be,,
IKHY,chlü(ü)be,,
IKIA,SDATS_zwicke/zwigge,,zwigge
IKNR,zwäärge,,
IMMC,zwänggu/-e_zwenggu/-e,,
IMST,chlemme,,
INBX,chlü(ü)be,,
IOCC,chlemme,,
IOSV,chnüüble,,
IPCB,zwänggu/-e_zwenggu/-e,,
IPHH,chlemme,,
IPJN,chlü(ü)be,,
IPMA,chlü(ü)be,,
IPQX,chlemme,,
ISAE,chlemme,,
ISEJ,chlemme,,
ISGL,chlemme,,
IVZI,chlempe,,
IXKM,chlemme,,
IXXR,zwänggu/-e_zwenggu/-e,,
IZNJ,chlü(ü)be,,
IZSQ,pitzge,,
JAGZ,chlempe,,
JASL,chlü(ü)be,,
JAXC,chlü(ü)be,,
JBIL,chlü(ü)be,,
JCQC,chlü(ü)be,,
JDKE,chlü(ü)be,,
JDOB,chlü(ü)be,,
JEAL,chlü(ü)be,,
JEAO,chlempe,zwäärge,
JEUB,chlü(ü)be,,
JGLJ,chlemme,,
JGSK,chlü(ü)be,,
JICI,zwänggu/-e_zwenggu/-e,,
JIME,chlü(ü)be,,
JIQI,chlü(ü)be,,
JIYA,chlemme,,
JKBX,chlemme,,
JKZM,chlemme,,
JLQZ,chlemme,,
JMOG,chlemme,,
JNDD,chlempe,,
JNLN,chlemme,,
JOFB,chlemme,,
JPQE,chlimse,,
JRME,pitzge,,
JSHF,chnüüble,,
JTEM,chlü(ü)be,,
JTPS,chlü(ü)be,,
JTVH,zwiirg(g)e,,
JUIK,SDATS_kneife,,
JURN,chlempe,,
JVJL,chlemme,,
JVOT,zwänggu/-e_zwenggu/-e,,
JXAT,chlemme,,
JXGS,chnüüble,,
JXIV,chlemme,,
KBMJ,chlempe,,
KCRZ,chnüüble,,
KCUO,zwiirg(g)e,,
KDEU,chlempe,,
KDRC,zwänggu/-e_zwenggu/-e,,
KDYB,zwänggu/-e_zwenggu/-e,,
KEDM,chlimse,,
KEOL,chnüüble,,
KEOY,chlemme,,
KETC,chnüüble,,
KEZZ,pfätze,,pfitze
KFFF,chlemme,,
KFQY,chlemme,,
KFTU,SDATS_zwicke/zwigge,,zwicke
KFYD,chlempe,,
KHMQ,zwänggu/-e_zwenggu/-e,,
KHPQ,chlü(ü)be,,chlöibe
KJEV,chlemme,pfätze,
KJNO,chlemme,,
KKHV,chlempe,,
KKTQ,chlemme,,
