UID,V1,V2,COMMENTS
GIWV,puppe,,
GJCI,SDATS_peppi,,
GKBE,bääbi,,
GKBV,bääbi,,
GMMO,bääbi,,
GMWW,bääbi,,
GNBU,puppe,,
GNMQ,puppe,,puppa
GOAU,bääbi,,
GOLW,bääbe,,bääba
GOOB,bääbi,,
GOQI,bääbi,,
GOSY,poppe,,poppa
GOYC,titti,,
GPAK,bääbi,,
GPGA,puppe,,
GRAR,bääbi,,
GRPJ,baabe,,
GSLS,bääbi,,
GUTF,bääbi,,
GVNN,puppe,,
GVUS,bääbi,,
GWOX,bääbi,,
GXEB,puppe,,
GYBZ,puppe,,
GYUD,bääbi,,beebi
GZMD,puppe,,
HBBQ,puppi,,
HCIF,bääbi,,
HDLV,puppe,,
HDNF,puppe,,
HEHU,poppe,,
HEVH,puppe,,
HFCS,puppe,,
HFSV,puppe,,
HGBP,bääbi,,
HGYK,puppe,,
HHHE,tocha_tochu_toche,,
HIGZ,baabe,,
HKRF,puppe,,
HLFM,bääbi,,
HMXR,bääbi,,
HPNB,puppe,,
HPYW,titti,,
HQPB,togge,,toggji
HUBI,bääbi,,
HUDO,baabe,,
HUYI,bääbi,,
HVLO,puppe,,
HWDZ,bääbi,,
HWOL,bääbi,,
HWTX,titti,,
HWYK,puppe,,
HXHY,bääbi,,
HXVS,bääbi,,
HXZZ,bääbi,,
HZBG,bääbi,,
HZRN,bääbi,,
HZVF,bääbi,,
IATI,poppe,,
IBYY,poppe,,
IDFP,bääbe,,bääba
IEEA,puppe,,
IGCP,bääbi,,
IGVA,tocha_tochu_toche,,tuchu
IHIF,titti,,
IJMG,määgga,,
IJQQ,bääbi,,
IKHY,puppe,,
IKIA,poppe,,
IKNR,bääbi,,
IMMC,puppe,,
IMST,bääbi,,
INBX,puppe,,
IOCC,bääbi,,
IOSV,bääbi,,
IPCB,puppe,,puppu
IPHH,bääbi,,
IPJN,bääbi,,
IPMA,puppe,,
IPQX,bääbi,,
ISAE,bääbi,,
ISEJ,bääbi,,
ISGL,puppe,,
IVZI,puppe,,
IXKM,puppe,,
IXXR,tocha_tochu_toche,,tocha
IZNJ,poppe,,poppa
IZSQ,puppe,,puppa
JAGZ,bääbi,,
JASL,puppe,,
JAXC,puppe,,
JBIL,baabe,,
JCQC,bääbi,,
JDKE,baabe,,
JDOB,baabeli,,baabili
JEAL,bääbi,,
JEAO,bääbi,,
JEUB,puppe,,
JGLJ,puppi,,
JGSK,puppe,,
JICI,puppe,,
JIME,tocha_tochu_toche,,
JIQI,bääbi,,
JIYA,bääbi,,
JKBX,bääbi,,stoffbääbi
JKZM,bääbi,,
JLQZ,bääbi,,
JMOG,bääbi,,
JNDD,bääbi,,
JNLN,bääbi,,
JOFB,titti,,
JPQE,titti,,
JRME,poppe,,
JSHF,bääbi,,
JTEM,bääbeli,,
JTPS,bääbi,,
JTVH,bääbi,,
JUIK,puppe,,
JURN,puppeli,,
JVJL,bääbi,,
JVOT,puppe,,
JXAT,bääbi,,
JXGS,bääbi,,
JXIV,bääbi,,
KBMJ,bääbi,,
KCRZ,puppe,,
KCUO,bääbi,,
KDEU,bääbi,,
KDRC,puppe,,
KDYB,tocha_tochu_toche,puppe,
KEDM,titti,,
KEOL,puppe,,
KEOY,bääbi,,
KETC,bääbi,,
KEZZ,puppe,,
KFFF,bääbi,,
KFQY,bääbi,,
KFTU,bääbi,,
KFYD,poppe,,
KHMQ,määgga,,
KHPQ,NA,,baby (?)
KJEV,bääbi,,
KJNO,bääbi,,
KKHV,bääbi,,
KKTQ,bääbi,,
KLXL,bääbi,,
KMII,puppe,,
KNCA,bääbe,,
KNPB,puppe,,
KOOG,määgga,,
KOQB,bääbi,,
KORE,titti,,
KPFH,puppe,,
KPHL,puppe,,
KQWD,bääbi,,
KRKJ,puppe,,
KRMJ,baabi,,
KRZH,puppe,,
KSJX,bääbi,,
KUGY,puppe,bääbi,
KUSC,bääbi,,
KVDO,poppe,,
KVYN,poppe,,huusipoppe
KXNF,puppe,,
KYSI,bääbi,,
KZCC,bääbi,,
LAKO,puppe,,
LAKP,bääbi,,
LAOE,bääbi,,
LAPG,bääbi,,
LAXN,poppe,,
LBNN,titti,,
LBVW,bääbi,,
LBYC,puppe,,
LCNW,bääbi,,
LCXS,puppe,,
LDAP,bääbi,,
LDNK,puppe,,
LDXH,bääbeli,,
LEDK,puppe,,
LEGF,bääbi,,
LEJJ,bääbi,,
LFFD,bääbe,,
LHAU,bääbi,,
LHHT,bääbi,,
LHTZ,bääbi,,
LIDX,puppe,,
LIPR,bääbi,,
LJIP,bääbi,,
LLBP,puppe,,
LLNV,bääbi,,
LMVO,bääbi,,
LOCO,bääbi,,
LOFY,bääbi,,
LOHZ,bääbi,,
LPNE,bääbi,,
LQUM,bääbi,,
LQVZ,bääbi,,
LRMP,bääbi,,
LSIS,tocha_tochu_toche,,tochu
LTAQ,bääbi,,
LTSU,baabe,,
LTSZ,bääbi,,
LVGN,puppe,,
LVXL,bääbi,,
LWCO,puppe,,
LYFW,bääbi,,
LZBT,bääbi,,
LZBW,puppe,,
MAQI,bääbi,,
MAXS,puppe,bääbi,
MBKO,bääbi,,
MBVT,bääbi,,
MCEZ,puppe,,
MCJN,puppe,,
MCMB,puppe,,
MCQO,bääbi,,
MEFD,bääbi,,
MEWO,bääbi,,
MGNO,puppe,,
MHUD,poppe,,
MHXW,puppe,,
MIDF,bääbi,,
MIEI,puppe,,
MIIK,puppe,,
MIXG,bääbi,,
MJKM,puppe,,
MKDC,tocha_tochu_toche,,
MLPB,bääbi,,
MNJJ,bääbi,,
MOCP,bääbeli,,
MOHG,titti,,
MPDX,puppe,,
MQDQ,puppi,,
MRDQ,SDATS_mousa,,
MSCO,bääbi,,
MSOH,puppe,,puppa
MWVG,bääbi,,
MXCL,poppe,,
MXDT,baabe,,
MXJS,puppe,,
MYXS,bääbi,,
NDVI,tocha_tochu_toche,,
NDWO,poppe,,
NDZV,titti,,
NEIS,bääbi,,
NFNF,bääbi,,
NGPR,bääbi,,
NHCM,bääbi,,
NIAP,bääbi,,
NIDZ,puppe,,
NIHI,bääbi,,
NJTA,bääbi,,
NLQP,titti,,
NMCH,puppe,,
NMUE,tocha_tochu_toche,,
NMZI,puppe,,puppa
NNHI,bääbi,,
NNPH,bääbi,,
NOMA,bääbi,,
NOQT,bääbi,,
NPFH,bääbi,,
NPQC,bääbi,,
NQPL,bääbi,,
NSBJ,bääbi,,
NUCN,puppe,,
NUHA,bääbi,,
NUYJ,puppe,,
NVYG,bääbi,,
NWFD,puppe,,
NWTU,bääbi,,
NXDG,puppe,,
NYTH,puppe,,
NZQW,bääbi,,
OASX,titti,,
OBMP,puppi,bääbi,
OCBC,puppe,,puppa
ODPT,tocha_tochu_toche,,
OEAH,puppe,,
OEZX,puppi,,
OFCF,bääbi,,
OFFV,bääbi,,
OFQQ,puppe,,puppa
OFXV,bääbi,,
OGPV,puppe,,
OGQG,bääbi,,
OHPG,bääbi,,
OIDW,bääbi,,
OKGR,bääbi,,
OKOZ,bääbi,,
OKWW,puppe,,
OLBL,bääbi,,
OLQM,bääbi,,
OOMM,bääbi,,
OPGH,tocha_tochu_toche,,
ORGN,puppe,,
ORWP,poppe,,
ORZF,bääbi,,
ORZO,bääbi,,
OSIL,bääbi,,
OTGL,bääbi,,
OTKB,bääbeli,,
OUQD,puppe,,
OUZE,bääbi,,
OWGL,bääbi,,
OWIM,bääbi,,
OYFQ,puppe,,
OYUZ,poppe,,
OYYZ,bääbi,,
OZSY,bääbi,,
PCJF,puppe,,
PCMF,puppe,,
PCNX,bääbi,,
PDLD,puppe,,puppa
PEAV,bääbi,,
PGMA,bääbi,,
PIVE,bääbi,,
PJCV,puppe,,
PLSP,bääbi,,
PMBH,bääbi,,
PMLQ,puppe,,
PQFD,bääbi,,
PRTT,bääbi,,
PTMF,bääbi,,
PWBS,bääbi,,
PWRG,puppe,,
PXDH,bääbi,,
PXYB,puppe,,
PYDG,puppe,,
PYRT,puppe,,
PZKU,bääbi,,
QAMI,bääbi,,
QBCZ,puppe,,
QBYH,bääbi,,
QDBA,tocha_tochu_toche,,
QDCG,bääbi,,
QDGR,bääbi,,
QDGV,titti,,
QEOR,puppe,,puppa
QFCD,bääbi,SDATS_püppli,
QFPK,puppe,,puppa
QGPN,bääbi,,
QKEJ,bääbi,,
QKJG,bääbeli,,
QKOW,puppe,,
QKPX,bääbi,,
QMBF,baabe,,
QMGE,bääbi,,
QMNB,puppe,,
QNPX,bääbi,,
QNXD,puppe,,
QOOD,titti,,
QOST,SDATS_mousa,,
QQKY,puppe,,
QRRJ,bääbi,,
QSIC,puppi,,
QVTY,puppe,,
QVWW,puppe,,
QVXX,puppe,,
QVYB,bääbi,,
QVYF,poppi,,
QWZT,bääbi,,
QXIH,bääbi,,
QYGT,SDATS_nuschi,,
QZDY,bääbi,,
QZEX,puppe,,
RAJQ,puppe,,
RAKP,puppe,,
RATN,bääbi,,
