UID,V1,V2,COMMENTS
DJVZ,leicht verdumpftes a [ɑ̹],,
DKPP,sehr helles a [a],,
DKTE,neutrales a [ɑ],,
DMSW,stark verdumpftes a [ɒ],,
DMYY,sehr helles a [a],,
DNGG,stark verdumpftes a [ɒ],,
DNMP,sehr helles a [a],,
DNOS,stark verdumpftes a [ɒ],,
DNTL,neutrales a [ɑ],,
DNVV,leicht verdumpftes a [ɑ̹],,
DOED,leicht verdumpftes a [ɑ̹],,
DOYR,stark verdumpftes a [ɒ],,
DQIU,neutrales a [ɑ],,
DQYW,leicht verdumpftes a [ɑ̹],,
DRXU,stark verdumpftes a [ɒ],,
DSIC,neutrales a [ɑ],,
DSLN,neutrales a [ɑ],,
DSMR,neutrales a [ɑ],,
DTAZ,neutrales a [ɑ],,
DTEM,stark verdumpftes a [ɒ],,
DTWK,neutrales a [ɑ],,
DTXP,leicht verdumpftes a [ɑ̹],,
DUGA,neutrales a [ɑ],,
DYAK,leicht verdumpftes a [ɑ̹],,
DYND,neutrales a [ɑ],,
DZTY,leicht verdumpftes a [ɑ̹],,
EAVK,sehr helles a [a],,
EBCW,stark verdumpftes a [ɒ],,
ECVN,leicht verdumpftes a [ɑ̹],,
EDLT,stark verdumpftes a [ɒ],,
EDTB,neutrales a [ɑ],,
EECM,neutrales a [ɑ],,
EEIN,leicht verdumpftes a [ɑ̹],,
EFKS,neutrales a [ɑ],,
EFPC,leicht verdumpftes a [ɑ̹],,
EGEH,neutrales a [ɑ],,
EGZW,sehr helles a [a],,
EJOM,neutrales a [ɑ],,
EJPH,neutrales a [ɑ],,
EJSR,neutrales a [ɑ],,
ELAJ,neutrales a [ɑ],,
ELJW,leicht verdumpftes a [ɑ̹],,
EMDA,leicht verdumpftes a [ɑ̹],,
EMZF,neutrales a [ɑ],,
ENGZ,stark verdumpftes a [ɒ],,
ENWC,sehr helles a [a],,
EPKE,sehr helles a [a],,
EPQP,leicht verdumpftes a [ɑ̹],,
ESSD,stark verdumpftes a [ɒ],,
ESTD,stark verdumpftes a [ɒ],,
ETKD,neutrales a [ɑ],,
EUEH,leicht verdumpftes a [ɑ̹],,
EUGJ,leicht verdumpftes a [ɑ̹],,
EVCN,neutrales a [ɑ],,
EVFU,neutrales a [ɑ],,
EVJU,leicht verdumpftes a [ɑ̹],,
EVQN,stark verdumpftes a [ɒ],,
EVVM,neutrales a [ɑ],,
EWCC,sehr helles a [a],,
EXRW,sehr helles a [a],,
EYLY,neutrales a [ɑ],,
EYWJ,neutrales a [ɑ],,
EYXR,NA,,AUDIO FEHLT
FAHE,neutrales a [ɑ],,
FALC,leicht verdumpftes a [ɑ̹],,
FAPZ,neutrales a [ɑ],,
FBTV,stark verdumpftes a [ɒ],,
FBWY,leicht verdumpftes a [ɑ̹],,
FCLR,leicht verdumpftes a [ɑ̹],,
FEMF,leicht verdumpftes a [ɑ̹],,
FFOD,neutrales a [ɑ],,
FFRL,stark verdumpftes a [ɒ],,
