UID,V1,V2,COMMENTS
FJHI,Gröitschi,,
FJJI,Bätzgi,,
FJTV,Bützgi,,
FLCV,Bütschgi,,
FLKN,Bütschgi,,
FMFX,Gige(r)tschi,,
FMHR,Bütschgi,,
FMOO,Bitzgi,,
FNGR,Bitzgi,,
FNUF,Bätzgi,,
FNVT,Bütschgi,,
FONZ,Gröibschi,,
FOPS,Üürbsi,,
FPFX,Bitzgi,,
FPKO,Gröibschi,,
FPZN,Bütschgi,,
FQAF,Grübschi,,Gribschi
FQWL,Bitschgi,,
FQYS,Bitzgi,,
FRBT,Grübschi,,
FRFQ,Grübschi,,Gribschi 
FRWW,Bütschgi,,
FSTE,Bitzgi,,
FSUY,Bütschgi,,
FSWB,Üürbsi,,
FTDY,Gröibschi,,
FTFT,Gröibschi,,
FVIK,0_NA,,
FVIZ,Chääruhuusi,,chäruhüüsi
FVTU,Gröibschi,,
FWAG,Bätzgi,,
FWND,0_NA,,
FXCQ,Gütschi,,
FXKN,Bütschgi,,
FYQI,Bitschgi,,
FZPW,Bütschgi,,
GAUD,Bütschgi,,
GAZV,Bütschgi,,
GBTH,Gröibschi,,
GDJE,Bütschgi,,
GFKH,Bütschgi,,
GFPM,Güürbsi,,görbsi
GFYZ,Bütschgi,,
GGLE,Bitzgi,,
GGSX,Bitzgi,,
GHGD,Bütschgi,,
GHLF,Bütschgi,,
GHMK,Bitschgi,,
GHXY,Bütschgi,,
GIIR,Bütschgi,,
GIOH,Bitzgi,,
GIQG,Grübschi,,
GIWV,SDATS_Gibschi ,,
GJCI,Hüschtschi,,
GKBE,Güürbsi,,Görbsi
GKBV,Gröibschi,,
GMMO,Gröibschi,,
GMWW,Bütschgi,,
GNBU,Bitzgi,,öpfubitzgi 
GNMQ,Gröitschi,,
GOAU,Gröibschi,,
GOLW,SDATS_Pfirri ,,
GOOB,Gige(r)tschi,,
GOQI,Bützgi,,
GOSY,Bitschgi,,
GOYC,Bätzgi,,
GPAK,Bitzgi,,
GPGA,Bitzgi,,
