UID,V1,V2,V3,COMMENTS
FLKN,glungge_glügge,,,
FMFX,glungge_glügge,,,
FMHR,pfütz-e,,,
FMOO,gunt-e,,,
FNGR,lache,,,
FNUF,glumpe,,,
FNVT,pfütz-e,,,
FONZ,glungge_glügge,,,
FOPS,gumpi,,,
FPFX,gump-e,,,
FPKO,glungge_glügge,,,
FPZN,pfütz-e,,,
FQAF,glunte,,,
FQWL,glunte,,,
FQYS,pfütz-e,,,
FRBT,glunte,,,
FRFQ,glunte,,,
FRWW,pfütz-e,,,
FSTE,gunt-e,,,
FSUY,gump-e,,,
FSWB,gumpi,,,
FTDY,glungge_glügge,,,
FTFT,glungge_glügge,,,
FVIK,butz,,,
FVIZ,glutte,,,
FVTU,glungge_glügge,,,
FWAG,glungge_glügge,,,
FWND,gille,,,
FXCQ,bütz-e,,,
FXKN,glungge_glügge,,,
FYQI,gu-u-dle,,,
FZPW,pfütz-e,,,
GAUD,gunt-e,,,
GAZV,pfütz-e,,,
GBTH,glungge_glügge,,,
GDJE,pfütz-e,,,
GFKH,gunt-e,,,
GFPM,SDATS_gluntsche,,,
GFYZ,butz,,,
GGLE,SDATS_bädere,,,
GGSX,pfütz-e,,,
GHGD,pfütz-e,,,
GHLF,gunt-e,,,
GHMK,gunt-e,,,
GHXY,glungge_glügge,,,
GIIR,gunt-e,,,
GIOH,gunt-e,,,
GIQG,pfütz-e,,,
GIWV,pfütz-e,,,
GJCI,butz,,,
GKBE,glungge_glügge,,,
GKBV,glungge_glügge,,,
GMMO,glungge_glügge,,,
GMWW,pfütz-e,,,
GNBU,glungge_glügge,,,
GNMQ,glunte,,,
GOAU,glungge_glügge,,,
GOLW,gille,glungge_glügge,,spez. gillu
GOOB,glungge_glügge,,,
GOQI,glumpe,,,
GOSY,gu-u-dle,,,
GOYC,gunt-e,,,
GPAK,gunt-e,,,
GPGA,pfütz-e,,,
GRAR,pfütz-e,,,
GRPJ,pfütz-e,,,
GSLS,glungge_glügge,,,
GUTF,glungge_glügge,,,
GVNN,lache,,,
GVUS,pfütz-e,,,
GWOX,gunt-e,,,
GXEB,pfütz-e,,,
GYBZ,pfütz-e,,,
GYUD,gunt-e,,,
GZMD,glungge_glügge,,,
HBBQ,lache,,,
HCIF,pfütz-e,,,
HDLV,pfütz-e,,,
HDNF,pfütz-e,,,
HEHU,SDATS_bädere,,,
HEVH,pfütz-e,,,
HFCS,gille,,,spez. Gillu
HFSV,glungge_glügge,,,
HGBP,pfütz-e,,,
HGYK,gu-u-dle,,,
HHHE,glutte,,,
HIGZ,pfütz-e,,,
HKRF,gunt-e,,,
HLFM,glungge_glügge,,,
HMXR,glungge_glügge,,,
HPNB,pfütz-e,,,
HPYW,gunt-e,,,
HQPB,gille,,,
HUBI,glungge_glügge,,,
HUDO,gump-e,,,
HUYI,glungge_glügge,,,
HVLO,pfütz-e,,,
HWDZ,gunt-e,,,
HWOL,glungge_glügge,,,
HWTX,gump-e,,,
HWYK,gu-u-dle,,,
HXHY,pfütz-e,,,
HXVS,glungge_glügge,,,
HXZZ,gunt-e,,,
HZBG,glungge_glügge,,,
HZRN,pfütz-e,,,
HZVF,glungge_glügge,,,
IATI,pfütz-e,,,
IBYY,SDATS_bädere,,,
IDFP,gille,,,spez. Gillun
IEEA,gu-u-dle,,,gudla
IGCP,pfütz-e,,,
IGVA,gille,,,spez. gillu
IHIF,pfütz-e,,,
IJMG,glutte,,,
IJQQ,gungge,,,
IKHY,pfütz-e,,,
IKIA,pfütz-e,,,
IKNR,glunte,,,
IMMC,glutte,,,
IMST,glungge_glügge,,,
INBX,pfütz-e,,,
CYKL,glungge_glügge,,,
IOCC,glungge_glügge,,,
IOSV,gunt-e,,,
IPCB,pfütz-e,,,spez. pfützu
IPHH,glungge_glügge,,,
IPJN,gunt-e,,,
IPMA,gump-e,,,
IPQX,pfütz-e,,,
ISAE,glungge_glügge,,,
ISEJ,glumpe,,,
ISGL,pfütz-e,glungge_glügge,,
IVZI,pfütz-e,,,
IXKM,glungge_glügge,,,
IXXR,pfütz-e,gille,,
IZNJ,gu-u-dle,,,guttla
IZSQ,butz,,,
JAGZ,glungge_glügge,,,
JASL,pfütz-e,,,
JAXC,gu-u-dle,,,
JBIL,gungge,,,
JCQC,gunt-e,,,
JDKE,gunt-e,,,
JDOB,pfütz-e,,,
JEAL,pfütz-e,,,
JEAO,gump-e,,,
JEUB,pfütz-e,,,
JGLJ,pfütz-e,,,
JGSK,pfütz-e,,,
JICI,pfütz-e,,,
JIME,butz,,,
JIQI,pfütz-e,,,suspekt: pfützLe
JIYA,gunt-e,,,
JKBX,pfütz-e,,,
JKZM,pfütz-e,,,
JLQZ,gumpi,,,
JMOG,glungge_glügge,,,
JNDD,pfütz-e,,,
JNLN,pfütz-e,,,
JOFB,gunt-e,,,
JPQE,gump-e,,,
JRME,gump-e,,,
JSHF,gunt-e,,,
JTEM,gunt-e,,,
JTPS,gump-e,,,
JTVH,glunte,,,
JUIK,pfütz-e,,,
JURN,glunte,,,
JVJL,glungge_glügge,,,
JVOT,pfütz-e,,,
JXAT,glungge_glügge,,,
JXGS,gunt-e,,,
JXIV,glungge_glügge,,,
KBMJ,glungge_glügge,,,
KCRZ,gunt-e,,,
KCUO,glunte,,,glunta
KDEU,glunte,,,
KDRC,gille,,,
KDYB,gille,,,
KEDM,pfütz-e,,,
KEOL,glungge_glügge,,,
KEOY,glungge_glügge,,,
KETC,gunt-e,,,
KEZZ,pfütz-e,,,
KFFF,glungge_glügge,,,
KFQY,gumpi,,,
KFTU,pfütz-e,,,
KFYD,gu-u-dle,,,
KHMQ,glutte,,,
KHPQ,pfütz-e,,,
KJEV,pfütz-e,,,
KJNO,glungge_glügge,,,
KKHV,glungge_glügge,,,
KKTQ,glungge_glügge,,,
KLXL,gunt-e,,,
KMII,glungge_glügge,,,
KNCA,gunt-e,,,
KNPB,gump-e,,,
KOOG,gille,,,spez. Gilla
KOQB,pfütz-e,,,
KORE,gunt-e,,,
KPFH,pfütz-e,,,
KPHL,pfütz-e,,,
KQWD,gunt-e,,,
KRKJ,pfütz-e,,,
KRMJ,gunt-e,,,
KRZH,gunt-e,,,
KSJX,glumpe,,,
KUGY,gunt-e,,,
KUSC,SDATS_gluntsche,,,
KVDO,gump-e,,,
KVYN,pfütz-e,,,
KXNF,pfütz-e,,,
KYSI,gunt-e,pfütz-e,,
KZCC,glungge_glügge,,,
LAKO,gu-u-dle,,,
LAKP,pfütz-e,,,
LAOE,gunt-e,,,
LAPG,pfütz-e,,,
LAXN,butz,,,
LBNN,gunt-e,,,
LBVW,glunte,,,
LBYC,glunggi,,,
LCNW,glunggi,,,
LCXS,gunt-e,,,
LDAP,pfütz-e,,,
LDNK,pfütz-e,,,
LDXH,gunt-e,,,
LEDK,pfütz-e,,,
LEGF,glungge_glügge,,,
LEJJ,gump-e,,,
LFFD,lache,,,
LHAU,gunt-e,,,
LHHT,glungge_glügge,,,
LHTZ,glungge_glügge,,,
LIDX,pfütz-e,,,
LIPR,gunt-e,,,
LJIP,glumpe,,,
LLBP,pfütz-e,,,
LLNV,glungge_glügge,,,
LMVO,gump-e,,,
LOCO,glungge_glügge,,,
LOFY,glungge_glügge,,,
LOHZ,glunte,,,
LPNE,glumpe,,,
LQUM,glungge_glügge,,,
LQVZ,gunt-e,,,
LRMP,pfütz-e,,,
LSIS,gille,,,
LTAQ,pfütz-e,,,
LTSU,gunt-e,,,
LTSZ,gunt-e,,,
LVGN,glungge_glügge,,,
LVXL,SDATS_gluntsche,,,
LWCO,pfütz-e,,,
LYFW,glunte,,,
LZBT,glungge_glügge,,,
LZBW,gu-u-dle,,,
MAQI,glungge_glügge,,,
MAXS,gunt-e,,,
MBKO,glungge_glügge,,,
MBVT,glungge_glügge,,,
MCEZ,pfütz-e,,,
MCJN,glungge_glügge,,,
MCMB,butz,,,
MCQO,glungge_glügge,,,
MEFD,gunt-e,,,
MEWO,gump-e,,,
MGNO,gu-u-dle,,,
MHUD,gu-u-dle,,,
MHXW,gunt-e,,,
MIDF,glungge_glügge,,,
MIEI,gunt-e,,,
MIIK,pfütz-e,,,
MIXG,glungge_glügge,,,
MJKM,pfütz-e,,,
MKDC,butz,,,
MLPB,glungge_glügge,,,
MNJJ,glungge_glügge,,,
MOCP,pfütz-e,,,
MOHG,glungge_glügge,,,
MPDX,gu-u-dle,,,
MQDQ,glunte,,,
MRDQ,glunte,,,
MSCO,glungge_glügge,,,
MSOH,gille,,,
MWVG,glungge_glügge,,,
MXCL,gu-u-dle,,,
MXDT,tümpel,,,
MXJS,glunte,,,
MYXS,pfütz-e,lache,gump-e,
NDVI,glutte,,,
NDWO,gu-u-dle,,,
NDZV,pfütz-e,,,
NEIS,pfütz-e,,,
NFNF,glungge_glügge,,,
NGPR,glungge_glügge,,,
NHCM,glunte,,,
NIAP,glungge_glügge,,,
NIDZ,gu-u-dle,,,
NIHI,gunt-e,,,
NJTA,glunte,,,
NLQP,gunt-e,,,
NMCH,gunt-e,,,
NMUE,gille,,,
NMZI,pfütz-e,,,
NNHI,glungge_glügge,,,
NNPH,pfütz-e,,,
NOMA,gunt-e,,,
NOQT,gunt-e,,,
NPFH,gille,,,
NPQC,glunte,,,
NQPL,pfütz-e,,,
NSBJ,gille,,,
NUCN,glungge_glügge,,,
NUHA,pfütz-e,,,
NUYJ,gunt-e,,,
NVYG,gunt-e,,,
NWFD,gunt-e,,,
NWTU,glungge_glügge,,,
NXDG,gu-u-dle,,,
NYTH,pfütz-e,,,
NZQW,gunt-e,,,
OASX,gunt-e,,,
OBMP,pfütz-e,,,
OCBC,glunte,,,
ODPT,gille,,,
OEAH,glungge_glügge,,,
OEZX,gu-u-dle,,,
OFCF,gunt-e,,,
OFFV,glungge_glügge,,,
OFQQ,gu-u-dle,,,
OFXV,glungge_glügge,,,
OGPV,gunt-e,,,
OGQG,gump-e,,,
OHPG,gille,,,
OIDW,bütz-e,,,
OKGR,glungge_glügge,,,
OKOZ,glungge_glügge,,,
OKWW,gu-u-dle,,,
OLBL,gille,,,spez. Gillo
OLQM,gunt-e,,,
OOMM,gump-e,,,
OPGH,gille,,,
ORGN,gille,,,
ORWP,gump-e,,,
ORZF,glungge_glügge,,,
ORZO,gunt-e,,,
OSIL,gungge,,,
OTGL,glungge_glügge,,,
OTKB,gunt-e,,,
OUQD,glungge_glügge,,,
OUZE,glunte,,,
OWGL,glungge_glügge,,,
OWIM,glungge_glügge,,,
OYFQ,gunt-e,,,günte
OYUZ,butz,,,
OYYZ,glungge_glügge,,,
OZSY,glungge_glügge,,,
PCJF,gu-u-dle,,,
PCMF,pfütz-e,,,
PCNX,pfütz-e,,,
PDLD,pfütz-e,,,
PEAV,gungge,,,
PGMA,pfütz-e,,,
PIVE,glungge_glügge,,,
PJCV,pfütz-e,,,
PLSP,bütz-e,,,
