UID,V1,V2,V3,COMMENTS
YXRN,pfütz-e,,,
YYYI,gunt-e,,,
YZVT,pfütz-e,,,
YZZH,glungge_glügge,,,
ZAAX,pfütz-e,,,
ZAHZ,pfütz-e,,,
ZBAS,gunt-e,,,
ZCEZ,glungge_glügge,,,
ZCNV,glumpe,,,
ZCOU,glungge_glügge,,,
ZDGL,glungge_glügge,,,
ZEWN,glutte,,,
ZFDB,lache,,,
ZFMD,glungge_glügge,,,
ZFOJ,gunt-e,,,
ZFWF,glunggi,,,
ZGBL,glungge_glügge,,,
ZGNM,gille,,,
ZGQY,gunt-e,,,
ZGYT,glungge_glügge,,,
ZHCJ,glungge_glügge,,,
ZHRR,gunt-e,,,
ZIOD,pfütz-e,,,
ZISL,glungge_glügge,,,
ZJFT,glungge_glügge,,,
ZJOB,glungge_glügge,,,
ZKCK,gunt-e,,,
ZKMF,glungge_glügge,,,
ZKZN,pfütz-e,,,
ZLFM,glungge_glügge,,,
ZLKX,glungge_glügge,,,
ZLZD,gunt-e,,,
ZMCX,gille,,,spez. Gillo
ZOLO,pfütz-e,,,
ZPCZ,glungge_glügge,,,
ZPGU,gunt-e,,,
ZPMN,gunt-e,,,
ZPWK,pfütz-e,,,
ZPWZ,pfütz-e,,,
ZQMH,pfütz-e,,,
ZQTC,glungge_glügge,,,
ZRRB,gunt-e,,,
ZRWA,pfütz-e,,,
ZSMF,lache,,,
ZTBJ,pfütz-e,,,
ZTLY,glungge_glügge,,,
ZUYN,gunt-e,,,
ZVDJ,gille,,,
ZVMY,pfütz-e,,,
ZVYB,pfütz-e,,,
ZWLT,pfütz-e,,,
ZXKI,gunt-e,,,
ZYHQ,pfütz-e,,,
ZYKF,glungge_glügge,,,
ZZSM,gu-u-dle,,,
