UID,V1,V2,COMMENTS
FPKO,härdöpfel,,
FPZN,härdöpfel,,
FQAF,härdepfel,,
FQWL,härdöpfel,,
FQYS,härdöpfel,,
FRBT,härdöpfel,,
FRFQ,häärpfel,,
FRWW,härdöpfel,,
FSTE,hööröpfel,,
FSUY,härdöpfel,,
FSWB,härdöpfel,,
FTDY,härdöpfel,,
FTFT,härdöpfel,,
FVIK,härperu,,
FVIZ,häärpfel,,
FVTU,härdöpfel,,
FWAG,härdepfel,,
FWND,häärpfel,,
FXCQ,härdöpfel,,
FXKN,härdöpfel,,
FYQI,SDATS_patati,,
FZPW,hördöpfel,,
GAUD,gumel(i),,
GAZV,härdöpfel,,
GBTH,härdöpfel,,
GDJE,härdöpfel,,
GFKH,härdöpfel,,
GFPM,härdöpfel,,
GFYZ,härdepfel,,
GGLE,hödöpfel,,
GGSX,härdöpfel,,
GHGD,härdöpfel,,
GHLF,härdöpfel,,
GHMK,hädöpfel,,hä(r)depfu
GHXY,härdöpfel,,
GIIR,härdöpfel,,
GIOH,härdöpfel,,
GIQG,häbel,,
GIWV,häärpfel,,
GJCI,härperu,,
GKBE,härdöpfel,,
GKBV,härdöpfel,,
GMMO,härdöpfel,,
GMWW,härdöpfel,,
GNBU,härdöpfel,,
GNMQ,häppere,,häppera
GOAU,härdöpfel,,
GOLW,härdepfel,,
GOOB,härdöpfel,,
GOQI,härdöpfel,,
GOSY,härdöpfel,,
GOYC,gumel(i),,
GPAK,härdöpfel,,
GPGA,härdöpfel,,
GRAR,härdöpfel,,
GRPJ,härdöpfel,,
GSLS,härdöpfel,,
GUTF,härdöpfel,,
GVNN,härdepfel,,
GVUS,häärpfel,,
GWOX,härdepfel,,
GXEB,häärpfel,,
GYBZ,härdöpfel,,
GYUD,härdöpfel,,
GZMD,härdöpfel,,
HBBQ,härdöpfel,,
HCIF,härdöpfel,,
HDLV,härtöpfel,,
HDNF,härdöpfel,,
HEHU,hödöpfel,,
HEVH,härdöpfel,,
HFCS,häärpfel,,häärpfil
HFSV,härdöpfel,,
HGBP,härdöpfel,,
HGYK,härdöpfel,,
HHHE,häärpfel,,
HIGZ,härdöpfel,,
HKRF,härdöpfel,,
HLFM,härdöpfel,,
HMXR,härdöpfel,,
HPNB,härdöpfel,,
HPYW,härdepfel,,
HQPB,häärpfel,,
HUBI,härdöpfel,,
HUDO,härdöpfel,,
HUYI,härdöpfel,,
HVLO,härdöpfel,,
HWDZ,härdöpfel,,
HWOL,härdöpfel,,
HWTX,härdepfel,,
HWYK,härdöpfel,,
HXHY,härdöpfel,,
HXVS,hädöpfel,,
HXZZ,härdepfel,,
HZBG,härdöpfel,,
HZRN,härdöpfel,,
HZVF,häärpfel,,
IATI,härdepfel,,
IBYY,hädöpfel,,
IDFP,härdepfel,,
IEEA,härdöpfel,,
IGCP,härdöpfel,,
IGVA,häärpfel,,häärpfil
IHIF,härdöpfel,,
IJMG,häärpfel,,
IJQQ,hördöpfel,,
IKHY,härdöpfel,,
IKIA,hördöpfel,,
IKNR,härdöpfel,,
IMMC,häärpfel,,
IMST,härdöpfel,,
INBX,äärdli,,
IOCC,härdöpfel,,
IOSV,häppere,,
IPCB,häärpfel,,
IPHH,härdöpfel,,
IPJN,härdöpfel,,
IPMA,hördöpfel,,
IPQX,härdöpfel,,
ISAE,härdöpfel,,
ISEJ,härdöpfel,,
ISGL,härdöpfel,,
IVZI,häppere,,
IXKM,härdöpfel,,
IXXR,häärpfel,,
IZNJ,härdöpfel,,
IZSQ,härdepfel,,hardepfel
JAGZ,häbel,,
JASL,härdöpfel,,
JAXC,härdöpfel,,
JBIL,härdöpfel,,
JCQC,härdöpfel,,
JDKE,härdepfel,,herdepfel
JDOB,härtöpfel,,
JEAL,härdöpfel,,
JEAO,härdöpfel,,
JEUB,härdöpfel,,
JGLJ,härdöpfel,,
JGSK,gumel(i),hädöpfel,
JICI,härdöpfel,,
JIME,häärpfel,,häärepfel
JIQI,hördöpfel,,
JIYA,härdöpfel,,
JKBX,härdöpfel,,
JKZM,härdöpfel,,
JLQZ,härdöpfel,,
JMOG,härdöpfel,,
JNDD,härdepfel,,
JNLN,härdöpfel,,
JOFB,gumel(i),,
JPQE,härdöpfel,,
JRME,härdepfel,,
JSHF,hördöpfel,,
JTEM,härdöpfel,,
JTPS,härdöpfel,,
JTVH,härdöpfel,,
JUIK,hädöpfel,,
JURN,häppere,,häppera
JVJL,härdöpfel,,
JVOT,häärpfel,,
JXAT,härdöpfel,,
JXGS,härdöpfel,,
JXIV,härdöpfel,,
KBMJ,härdöpfel,,
KCRZ,härdöpfel,,
KCUO,härdepfel,hääpel,v2 hääper
KDEU,häärpfel,,
KDRC,häärpfel,,
KDYB,häärpfel,,
KEDM,härtipfel,,
KEOL,härdöpfel,,
KEOY,härdöpfel,,
KETC,gumel(i),,
KEZZ,härdöpfel,,
KFFF,härdöpfel,,
KFQY,härdöpfel,,
KFTU,hördöpfel,,
KFYD,härdöpfel,,
KHMQ,häärpfel,,
KHPQ,härdöpfel,,
KJEV,härdöpfel,,
KJNO,härdöpfel,,
KKHV,härdöpfel,,
KKTQ,härdöpfel,,
KLXL,härdöpfel,,
KMII,härdöpfel,,
KNCA,härdepfel,,herdepfel
KNPB,härdöpfel,ä(r)pire_ärdbiere_appiere,
KOOG,häärpfel,,
KOQB,hördöpfel,,
KORE,gumel(i),,
KPFH,härdöpfel,,
KPHL,härdöpfel,,
KQWD,härdöpfel,,
KRKJ,härdöpfel,,
KRMJ,härdöpfel,,
KRZH,hördöpfel,,
KSJX,häppere,,häppera
KUGY,härdöpfel,,
KUSC,härdöpfel,,
KVDO,härdöpfel,,
KVYN,härdöpfel,,
KXNF,härdöpfel,,
KYSI,gumel(i),,
KZCC,härdöpfel,,
LAKO,härdöpfel,,
LAKP,hödöpfel,,
LAOE,härdepfel,,
LAPG,härdöpfel,,
LAXN,härdöpfel,,
LBNN,härdepfel,,
LBVW,härdöpfel,,
LBYC,härdöpfel,,
LCNW,härtöpfel,,
LCXS,härdöpfel,,
LDAP,härdöpfel,,
LDNK,härdöpfel,,
LDXH,härdöpfel,,
LEDK,härdöpfel,,häröpfel
LEGF,härdöpfel,,
LEJJ,härdöpfel,,
LFFD,äärdli,grundbire,V2: grumpere
LHAU,härdöpfel,,
LHHT,hördöpfel,,
LHTZ,härdöpfel,,
LIDX,gumel(i),,
LIPR,hädöpfel,,
LJIP,härdepfel,,
LLBP,härdöpfel,,
LLNV,härdöpfel,,
LMVO,hördöpfel,,
LOCO,härdöpfel,,
LOFY,härdöpfel,,
LOHZ,häppere,,häppera
LPNE,härdöpfel,,
LQUM,härdöpfel,,
LQVZ,härdöpfel,,
LRMP,härdöpfel,,
LSIS,häärpfel,,
LTAQ,härdöpfel,,
LTSU,ärdöpfel,,
LTSZ,härdöpfel,,
LVGN,härdöpfel,,
LVXL,härdöpfel,,
LWCO,härdöpfel,,
LYFW,härdöpfel,,
LZBT,härdöpfel,,
LZBW,härdöpfel,,
MAQI,härdöpfel,,
MAXS,hädöpfel,,
MBKO,härdöpfel,,
MBVT,härdöpfel,,
MCEZ,härdepfel,,
MCJN,härdöpfel,,
MCMB,härperu,,
MCQO,härdöpfel,,
MEFD,härdöpfel,,
MEWO,härdöpfel,,
MGNO,härdöpfel,,
MHUD,härdöpfel,,
MHXW,härdöpfel,,
MIDF,härdöpfel,,
MIEI,härdepfel,,
MIIK,härdöpfel,,
MIXG,härdöpfel,,
MJKM,härdöpfel,,
MKDC,häärpfel,,
MLPB,härdöpfel,,
MNJJ,härdöpfel,,
MOCP,härdöpfel,,
MOHG,härdöpfel,,
MPDX,härdöpfel,,
MQDQ,häppere,,häppera
MRDQ,härdöpfel,,
MSCO,härdöpfel,,
MSOH,häärpfel,,
MWVG,härdöpfel,,
MXCL,härdöpfel,,
MXDT,härdöpfel,,
MXJS,häppere,,
MYXS,härdöpfel,,
