UID,V1,V2,COMMENTS
GYBZ,rügge,,
GYUD,rugge,,
GZMD,rügge,,
HBBQ,rügge,,
HCIF,rügge,,
HDLV,rügge,,
HDNF,rugge,,
HEHU,rugge,,
HEVH,rugge,,
HFCS,rigge,,riggu
HFSV,rügge,,
HGBP,rugge,,
HGYK,rugge,,
HHHE,rigg,,
HIGZ,rugge,,
HKRF,rugge,,
HLFM,rügge,,
HMXR,rügge,,
HPNB,rugge,,
HPYW,rügge,,
HQPB,rigg,,
HUBI,rügge,,
HUDO,rugge,,
HUYI,rügge,,
HVLO,rugge,,
HWDZ,rugge,,
HWOL,rügge,,
HWTX,rigge,,
HWYK,rugge,,
HXHY,rugge,,
HXVS,rügge,,
HXZZ,rigge,,
HZBG,rügge,,
HZRN,rugge,,
HZVF,rigge,,riggu
IATI,rigg,,
IBYY,rugge,,
IDFP,rigg,,
IEEA,rügg,,
IGCP,rugge,,
IGVA,rügg,,
IHIF,rugge,,
IJMG,rigg,,
IJQQ,rugge,,
IKHY,rugge,,
IKIA,rügg,,
IKNR,rügge,,
IMMC,rigg,,
IMST,rügge,,
INBX,rugge,,
INDK,rügge,,
IOCC,rügge,,
IOSV,rügge,,
IPCB,rigge,,riggu
IPHH,rügge,,
IPJN,rugge,,
IPMA,rugge,,
IPQX,rügge,,
ISAE,rügge,,
ISEJ,rügge,,
ISGL,rügge,,
IVZI,rügge,,
IXKM,rügge,,
IXXR,rigg,,
IZNJ,rugge,,
IZSQ,rigg,,
JAGZ,rügge,,
JASL,rugge,,
JAXC,rugge,,
JBIL,rugge,,
JCQC,rugge,,
JDKE,rugge,,
JDOB,rugge,,
JEAL,rügge,,
JEAO,rugge,,
JEUB,rügge,,
JGLJ,rügge,,
JGSK,rugge,,
JICI,rugge,,
JIME,rigg,,
JIQI,rugge,,
JIYA,rugge,,
JKBX,rugge,,
JKZM,rügge,,
JLQZ,rügge,,
JMOG,rügge,,
JNDD,rügg,,
JNLN,rügge,,
JOFB,rugge,,
JPQE,rügge,,
JRME,rigg,,
JSHF,rügge,,
JTEM,rugge,,
JTPS,rugge,,
JTVH,rügge,,
JUIK,rugge,,
JURN,rigge,,
JVJL,rugge,,
JVOT,rigg,,
JXAT,rügge,,
JXGS,rugge,,
JXIV,rügge,,
KBMJ,rügge,,
KCRZ,rügge,,
KCUO,rigg,,
KDEU,rigg,,
KDRC,rigg,,
KDYB,rigg,,
KEDM,rigge,,
KEOL,rugge,,
KEOY,rügge,,
KETC,rügge,,
KEZZ,rugge,,
KFFF,rügge,,
KFQY,rugge,,
KFTU,rugge,,
KFYD,rügge,,
KHMQ,rigg,,
KHPQ,rugge,,
KJEV,rugge,,
KJNO,rügge,,
KKHV,rügge,,
KKTQ,rügge,,
KLXL,rugge,,
KMII,rügge,,
KNCA,rugge,,
KNPB,rügg,,
KOOG,rigg,,
KOQB,rugge,,
KORE,rügge,,
KPFH,rugge,,
KPHL,rugge,,
KQWD,rugge,,
KRKJ,rügge,,
KRMJ,rugge,,
KRZH,rügge,,
KSJX,rügge,,
KUGY,rugge,,
