UID,PLACE,LAT,LONG,site_code,SDS_CODE,KANTON,AGE_COHORT,GENDER,MOBILITY
ABMX,Oensingen,47.29075,7.71757,SO02,SO19,SO,older,Weiblich,1
ABNI,Willisau,47.12156,7.99079,LU06,LU13,LU,older,Weiblich,1
ACBR,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,older,Weiblich,2
ACTW,Hospental,46.61895,8.56797,UR02,UR11,UR,younger,Männlich,1
ACXW,Appenzell,47.33092,9.41006,AI01,AP11,AI,older,Männlich,1
AEPC,Sumiswald,47.02803,7.74515,BE22,BE42,BE,younger,Männlich,1
AGAO,Engelberg,46.82197,8.40447,OW01,UW12,OW,older,Weiblich,1
AHQM,Ermatingen,47.67067,9.08441,TG02,TG8,TG,older,Weiblich,1
AHQN,Würenlingen,47.53103,8.25799,AG10,AG14,AG,younger,Weiblich,1
AHSH,Ernen,46.39836,8.14467,VS02,WS29,VS,younger,Weiblich,2
AIEB,Rorschach/Rorschacherberg,47.48601,9.49412,SG08,SG9,SG,younger,Männlich,2
AIKP,Altdorf,46.88088,8.643,UR01,UR4,UR,younger,Männlich,2
AISI,Marbach,46.85301,7.89888,LU03,LU32,LU,younger,Weiblich,1
AJFE,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,younger,Weiblich,2
AKVO,Obersaxen,46.74558,9.10069,GR05,GR25,GR,older,Weiblich,2
ALGD,Blatten,46.42061,7.81976,VS01,WS7,VS,older,Männlich,1
AMHY,Saas-Grund,46.12329,7.938,VS05,WS21,VS,older,Männlich,1
AMKV,Oensingen,47.29075,7.71757,SO02,SO19,SO,younger,Männlich,1
ANGR,Konolfingen,46.87897,7.62098,BE13,BE60,BE,younger,Männlich,2
ANTS,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,older,Weiblich,2
AOLG,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,older,Männlich,1
AOQC,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,younger,Männlich,2
APFB,Büren,47.13906,7.37273,BE06,BE19,BE,younger,Weiblich,2
APID,Luzern,47.05392,8.30993,LU02,LU25,LU,younger,Weiblich,1
AQZL,Frutigen,46.58837,7.64741,BE09,BE102,BE,older,Männlich,1
ASHR,Mels,47.04644,9.41935,SG06,SG41,SG,younger,Männlich,2
AVMF,Churwalden,46.79686,9.53858,GR02,GR18,GR,older,Männlich,2
AWLY,Solothurn,47.2101,7.52971,SO04,SO25,SO,older,Männlich,3
AWMO,Fischingen,47.41407,8.96914,TG03,TG19,TG,younger,Männlich,2
AWQT,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,older,Männlich,1
AYBA,Vättis,46.9093,9.44055,SG11,SG46,SG,older,Männlich,1
AZPO,Aesch,47.46817,7.59647,BL01,BA7,BL,younger,Männlich,2
BAVI,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,younger,Männlich,3
BBCP,Sumiswald,47.02803,7.74515,BE22,BE42,BE,older,Weiblich,1
BCMG,Herisau,47.38892,9.27575,AR01,AP1,AR,older,Weiblich,2
BCUE,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Weiblich,1
BCVF,Bauma/Saland,47.36757,8.87776,ZH01,ZH46,ZH,younger,Weiblich,1
BDAX,Grindelwald,46.62478,8.03534,BE10,BE112,BE,younger,Männlich,1
BDGM,Hospental,46.61895,8.56797,UR02,UR11,UR,younger,Männlich,2
BDJF,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Männlich,1
BDNI,Saanen/Gstaad,46.4787,7.27587,BE20,BE93,BE,younger,Weiblich,1
BDOI,Glarus,47.04119,9.06642,GL02,GL5,GL,older,Weiblich,2
BDUF,Aesch,47.46817,7.59647,BL01,BA7,BL,older,Weiblich,1
BEKM,Willisau,47.12156,7.99079,LU06,LU13,LU,younger,Weiblich,2
BEVG,Olten,47.35224,7.89789,SO03,SO12,SO,older,Weiblich,1
BFHL,Ins,47.00636,7.10464,BE12,BE28,BE,older,Weiblich,1
BFKG,Düdingen,46.84647,7.19085,FR01,FR4,FR,younger,Weiblich,2
BGTK,Adelboden,46.49315,7.55847,BE02,BE104,BE,older,Männlich,1
BHBK,Vättis,46.9093,9.44055,SG11,SG46,SG,younger,Männlich,2
BHGY,Innerthal,47.10615,8.91949,SZ02,SZ8,SZ,younger,Männlich,1
BHXO,Zürich,47.3695,8.53885,ZH07,ZH37,ZH,younger,Männlich,1
BJAD,Altdorf,46.88088,8.643,UR01,UR4,UR,older,Weiblich,2
BJUC,Engelberg,46.82197,8.40447,OW01,UW12,OW,younger,Weiblich,1
BKKM,Mammern,47.64595,8.91593,TG05,TG4,TG,older,Weiblich,2
BKNV,Thusis,46.69518,9.43784,GR08,GR31,GR,older,Weiblich,1
BLBZ,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,older,Männlich,2
BLTF,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,younger,Männlich,1
BLZL,Sumiswald,47.02803,7.74515,BE22,BE42,BE,younger,Weiblich,2
BNAJ,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,older,Weiblich,1
BNBQ,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,younger,Männlich,1
BNOH,St. Niklaus,46.17598,7.80251,VS08,WS17,VS,older,Männlich,2
BNOO,Langenthal,47.21231,7.78712,BE14,BE11,BE,younger,Männlich,1
BOQG,Niederbipp,47.26651,7.6963,BE19,BE8,BE,older,Männlich,1
BOUD,Menziken,47.24278,8.18753,AG06,AG54,AG,older,Weiblich,1
BPSH,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,older,Männlich,1
BRVM,Unterschächen,46.86328,8.76984,UR03,UR5,UR,older,Männlich,1
BRVU,Gurmels,46.8932,7.17226,FR03,FR3,FR,younger,Weiblich,2
BRXK,St. Niklaus,46.17598,7.80251,VS08,WS17,VS,older,Männlich,1
BRYH,Hintere Linthal/Auen,46.89468,8.99111,GL01,GL9,GL,older,Männlich,1
BSRI,Olten,47.35224,7.89789,SO03,SO12,SO,younger,Männlich,1
BTKD,Oberriet,47.32008,9.56447,SG07,SG16,SG,older,Weiblich,2
BUHM,Grabs,47.18279,9.44287,SG05,SG33,SG,younger,Weiblich,2
BVDH,Vättis,46.9093,9.44055,SG11,SG46,SG,younger,Weiblich,2
BVEO,Laufen,47.42059,7.50092,BL03,BE3,BL,younger,Männlich,1
BWVF,Bettlach,47.20294,7.42412,SO01,SO23,SO,older,Weiblich,1
BXDO,Flawil,47.41279,9.18645,SG04,SG3,SG,younger,Weiblich,1
BYPQ,Freiburg,46.79604,7.1675,FR02,FR7,FR,older,Weiblich,2
BYRJ,Obersaxen,46.74558,9.10069,GR05,GR25,GR,younger,Männlich,3
BYRX,Schiers,46.96946,9.68993,GR06,GR10,GR,younger,Weiblich,2
BZEA,St. Gallen,47.43771,9.37291,SG10,SG7,SG,older,Männlich,2
BZEP,Schänis,47.16023,9.0463,SG09,SG34,SG,older,Männlich,2
CALT,Liestal,47.48499,7.73451,BL04,BA14,BL,younger,Männlich,2
CAVF,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,older,Männlich,3
CBFY,Adelboden,46.49315,7.55847,BE02,BE104,BE,older,Weiblich,1
CBHV,Vättis,46.9093,9.44055,SG11,SG46,SG,older,Weiblich,1
CBVP,Amriswil,47.54509,9.29842,TG01,TG25,TG,younger,Weiblich,2
CCBS,Aesch,47.46817,7.59647,BL01,BA7,BL,older,Männlich,2
CCGH,Thun,46.75663,7.6245,BE23,BE74,BE,younger,Männlich,2
CCJW,Plaffeien,46.74049,7.28816,FR06,FR12,FR,older,Männlich,1
CCOY,Ebnat-Kappel,47.26259,9.12339,SG02,SG26,SG,older,Männlich,1
CCWJ,Münchenbuchsee,47.02124,7.45048,BE18,BE34,BE,younger,Weiblich,1
CDSL,Schwarzenburg,46.81791,7.34167,BE21,BE64,BE,younger,Männlich,3
CEIX,Oberägeri,47.14153,8.57767,ZG01,ZG7,ZG,younger,Weiblich,1
CFAB,Freiburg,46.79604,7.1675,FR02,FR7,FR,younger,Männlich,2
CGCE,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,older,Männlich,1
CGIB,St. Niklaus,46.17598,7.80251,VS08,WS17,VS,older,Weiblich,1
CGQA,Ermatingen,47.67067,9.08441,TG02,TG8,TG,younger,Männlich,3
CICD,Visp,46.29263,7.88375,VS10,WS12,VS,younger,Weiblich,1
CIID,Murten,46.92725,7.11826,FR05,FR1,FR,younger,Männlich,2
CJRU,Maur,47.3403,8.66926,ZH04,ZH40,ZH,older,Männlich,1
CLBF,Simplon-Dorf,46.19557,8.05655,VS07,WS25,VS,younger,Weiblich,3
CLEJ,Salgesch,46.31142,7.56975,VS06,WS1,VS,older,Männlich,1
CLER,Bettlach,47.20294,7.42412,SO01,SO23,SO,younger,Männlich,1
CLIB,Bauma/Saland,47.36757,8.87776,ZH01,ZH46,ZH,younger,Weiblich,1
CLUZ,Schiers,46.96946,9.68993,GR06,GR10,GR,older,Männlich,2
CMSY,Konolfingen,46.87897,7.62098,BE13,BE60,BE,older,Weiblich,1
CNCW,Konolfingen,46.87897,7.62098,BE13,BE60,BE,younger,Männlich,2
COOG,Grabs,47.18279,9.44287,SG05,SG33,SG,older,Männlich,2
CQYU,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,younger,Weiblich,2
CRSL,Olten,47.35224,7.89789,SO03,SO12,SO,older,Weiblich,2
CRWO,Würenlingen,47.53103,8.25799,AG10,AG14,AG,younger,Weiblich,1
CTDF,Freiburg,46.79604,7.1675,FR02,FR7,FR,younger,Weiblich,2
CWHJ,Willisau,47.12156,7.99079,LU06,LU13,LU,older,Weiblich,1
CWJJ,Amriswil,47.54509,9.29842,TG01,TG25,TG,older,Weiblich,1
CXMM,Maur,47.3403,8.66926,ZH04,ZH40,ZH,younger,Weiblich,2
CXQZ,Zermatt,46.01962,7.74724,VS11,WS20,VS,younger,Männlich,1
CXSB,Brig-Glis/Gamsen/Ried-Brig,46.29136,7.97069,VS03,WS23,VS,younger,Weiblich,2
CYGU,Marbach,46.85301,7.89888,LU03,LU32,LU,younger,Männlich,1
CYKL,Münchenbuchsee,47.02124,7.45048,BE18,BE34,BE,older,Weiblich,2
CYSF,Glarus,47.04119,9.06642,GL02,GL5,GL,older,Männlich,1
CYWL,Spreitenbach,47.4178,8.36491,AG09,AG33,AG,older,Weiblich,2
CZER,Zofingen,47.28908,7.94494,AG11,AG47,AG,older,Männlich,1
CZJB,Salgesch,46.31142,7.56975,VS06,WS1,VS,older,Weiblich,1
CZKB,Spreitenbach,47.4178,8.36491,AG09,AG33,AG,older,Männlich,1
CZLH,Burgdorf,47.05618,7.6229,BE07,BE38,BE,younger,Weiblich,3
CZMV,Oensingen,47.29075,7.71757,SO02,SO19,SO,younger,Weiblich,1
DEML,Zweisimmen,46.54537,7.38127,BE25,BE91,BE,older,Weiblich,1
DFOW,Aarau,47.39023,8.04523,AG01,AG34,AG,younger,Weiblich,1
DGMU,Niederbipp,47.26651,7.6963,BE19,BE8,BE,older,Männlich,1
DGSC,Jaun,46.61094,7.27808,FR04,FR14,FR,younger,Männlich,2
DHAB,Blatten,46.42061,7.81976,VS01,WS7,VS,older,Männlich,1
DHAM,Davos/Frauenkirch,46.79752,9.82558,GR03,GR24,GR,younger,Männlich,2
DIYE,Herisau,47.38892,9.27575,AR01,AP1,AR,younger,Weiblich,1
DIZP,Weggis,47.03221,8.43457,LU05,LU28,LU,older,Weiblich,1
DJLC,Laufen,47.42059,7.50092,BL03,BE3,BL,older,Weiblich,2
DJVZ,Thun,46.75663,7.6245,BE23,BE74,BE,older,Weiblich,1
DKPP,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,older,Weiblich,2
DKTE,Olten,47.35224,7.89789,SO03,SO12,SO,older,Männlich,2
DMSW,Turtmann,46.3004,7.70341,VS09,WS5,VS,younger,Männlich,1
DMYY,Flawil,47.41279,9.18645,SG04,SG3,SG,younger,Männlich,1
DNGG,Zweisimmen,46.54537,7.38127,BE25,BE91,BE,older,Männlich,2
DNMP,Weinfelden,47.56687,9.10911,TG06,TG9,TG,younger,Männlich,1
DNOS,Turtmann,46.3004,7.70341,VS09,WS5,VS,younger,Weiblich,1
DNTL,Freiburg,46.79604,7.1675,FR02,FR7,FR,older,Männlich,2
DNVV,Hospental,46.61895,8.56797,UR02,UR11,UR,older,Weiblich,1
DOED,Menziken,47.24278,8.18753,AG06,AG54,AG,younger,Weiblich,1
DOYR,Lungern,46.7851,8.1576,OW02,UW10,OW,younger,Männlich,1
DQIU,Rafz,47.61237,8.53723,ZH05,ZH3,ZH,older,Männlich,1
DQYW,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Weiblich,1
DRXU,Reckingen,46.46967,8.24325,VS04,WS32,VS,older,Männlich,1
DSIC,Basel,47.55902,7.58877,BS01,BA1,BS,younger,Weiblich,1
DSLN,Ins,47.00636,7.10464,BE12,BE28,BE,older,Männlich,2
DSMR,Bettlach,47.20294,7.42412,SO01,SO23,SO,younger,Weiblich,1
DTAZ,Möhlin,47.5575,7.84519,AG08,AG2,AG,older,Männlich,1
DTEM,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,younger,Männlich,1
DTWK,Ermatingen,47.67067,9.08441,TG02,TG8,TG,older,Männlich,1
DTXP,Olten,47.35224,7.89789,SO03,SO12,SO,younger,Männlich,2
DUGA,Düdingen,46.84647,7.19085,FR01,FR4,FR,older,Männlich,2
DYAK,Eschenbach,47.25551,8.91835,SG03,SG22,SG,younger,Weiblich,1
DYND,Bern,46.93849,7.44783,BE03,BE47,BE,younger,Weiblich,2
DZTY,Würenlingen,47.53103,8.25799,AG10,AG14,AG,older,Männlich,2
EAVK,Diepoldsau,47.38495,9.65582,SG01,SG15,SG,older,Weiblich,1
EBCW,Zermatt,46.01962,7.74724,VS11,WS20,VS,younger,Weiblich,2
ECVN,Marbach,46.85301,7.89888,LU03,LU32,LU,older,Männlich,1
EDLT,Eschenbach,47.25551,8.91835,SG03,SG22,SG,younger,Männlich,2
EDTB,Amriswil,47.54509,9.29842,TG01,TG25,TG,younger,Männlich,1
EECM,Spiez/Faulensee,46.671,7.70914,BE08,BE75,BE,older,Männlich,2
EEIN,Hospental,46.61895,8.56797,UR02,UR11,UR,younger,Weiblich,2
EFKS,Luzern,47.05392,8.30993,LU02,LU25,LU,older,Männlich,1
EFPC,Büren,47.13906,7.37273,BE06,BE19,BE,younger,Männlich,2
EGEH,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,older,Männlich,2
EGZW,Zweisimmen,46.54537,7.38127,BE25,BE91,BE,younger,Weiblich,2
EJOM,Mels,47.04644,9.41935,SG06,SG41,SG,older,Männlich,1
EJPH,Büren,47.13906,7.37273,BE06,BE19,BE,younger,Männlich,1
EJSR,Basel,47.55902,7.58877,BS01,BA1,BS,older,Weiblich,2
ELAJ,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,younger,Männlich,2
ELJW,Mels,47.04644,9.41935,SG06,SG41,SG,older,Weiblich,1
EMDA,Merenschwand,47.26031,8.37408,AG07,AG59,AG,older,Männlich,2
EMZF,Bettlach,47.20294,7.42412,SO01,SO23,SO,younger,Weiblich,1
ENGZ,Bauma/Saland,47.36757,8.87776,ZH01,ZH46,ZH,older,Männlich,1
ENWC,Vättis,46.9093,9.44055,SG11,SG46,SG,younger,Weiblich,2
EPKE,Teufen,47.39069,9.3871,AR02,AP4,AR,younger,Weiblich,1
EPQP,Weggis,47.03221,8.43457,LU05,LU28,LU,younger,Weiblich,2
ESSD,Simplon-Dorf,46.19557,8.05655,VS07,WS25,VS,younger,Männlich,2
ESTD,Stans/Oberdorf,46.95722,8.36617,NW01,UW2,NW,older,Weiblich,1
ETKD,Gurmels,46.8932,7.17226,FR03,FR3,FR,younger,Weiblich,1
EUEH,Laufen,47.42059,7.50092,BL03,BE3,BL,younger,Weiblich,1
EUGJ,St. Niklaus,46.17598,7.80251,VS08,WS17,VS,younger,Weiblich,1
EVCN,Thun,46.75663,7.6245,BE23,BE74,BE,younger,Weiblich,2
EVFU,Thusis,46.69518,9.43784,GR08,GR31,GR,younger,Weiblich,2
EVJU,Büren,47.13906,7.37273,BE06,BE19,BE,older,Männlich,1
EVQN,Altdorf,46.88088,8.643,UR01,UR4,UR,older,Männlich,2
EVVM,Bremgarten/Widen/Zufikon,47.3505,8.34389,AG02,AG43,AG,younger,Männlich,2
EWCC,Oberriet,47.32008,9.56447,SG07,SG16,SG,younger,Männlich,1
EXRW,Oberriet,47.32008,9.56447,SG07,SG16,SG,younger,Weiblich,1
EYLY,Sumiswald,47.02803,7.74515,BE22,BE42,BE,older,Männlich,1
EYWJ,Gurmels,46.8932,7.17226,FR03,FR3,FR,older,Männlich,1
EYXR,Winterthur,47.49887,8.72867,ZH06,ZH21,ZH,older,Weiblich,1
FAHE,Münchenbuchsee,47.02124,7.45048,BE18,BE34,BE,older,Weiblich,1
FALC,Saanen/Gstaad,46.4787,7.27587,BE20,BE93,BE,younger,Männlich,1
FAPZ,Grabs,47.18279,9.44287,SG05,SG33,SG,older,Weiblich,1
FBTV,Ernen,46.39836,8.14467,VS02,WS29,VS,older,Weiblich,1
FBWY,Adelboden,46.49315,7.55847,BE02,BE104,BE,younger,Männlich,1
FCLR,Aesch,47.46817,7.59647,BL01,BA7,BL,older,Weiblich,2
FEMF,Aesch,47.46817,7.59647,BL01,BA7,BL,younger,Weiblich,2
FFOD,Solothurn,47.2101,7.52971,SO04,SO25,SO,younger,Männlich,2
FFRL,Turtmann,46.3004,7.70341,VS09,WS5,VS,younger,Männlich,1
FGTI,Thun,46.75663,7.6245,BE23,BE74,BE,older,Männlich,3
FHSY,Teufen,47.39069,9.3871,AR02,AP4,AR,younger,Männlich,2
FIBD,Unterschächen,46.86328,8.76984,UR03,UR5,UR,younger,Weiblich,2
FIKU,Weggis,47.03221,8.43457,LU05,LU28,LU,older,Weiblich,2
FJCF,Oensingen,47.29075,7.71757,SO02,SO19,SO,younger,Männlich,2
FJHI,Düdingen,46.84647,7.19085,FR01,FR4,FR,older,Weiblich,1
FJJI,Muotathal,46.97497,8.75815,SZ03,SZ15,SZ,younger,Männlich,1
FJTV,Horgen,47.25917,8.59868,ZH03,ZH55,ZH,younger,Männlich,1
FLCV,Igis,46.96387,9.55825,GR04,GR5,GR,older,Weiblich,3
FLKN,Brugg,47.48281,8.20683,AG03,AG29,AG,older,Weiblich,2
FMFX,Niederbipp,47.26651,7.6963,BE19,BE8,BE,younger,Weiblich,2
FMHR,Fischingen,47.41407,8.96914,TG03,TG19,TG,older,Männlich,2
FMOO,Grabs,47.18279,9.44287,SG05,SG33,SG,younger,Männlich,2
FNGR,Diepoldsau,47.38495,9.65582,SG01,SG15,SG,older,Weiblich,2
FNUF,Luzern,47.05392,8.30993,LU02,LU25,LU,younger,Männlich,1
FNVT,Zürich,47.3695,8.53885,ZH07,ZH37,ZH,younger,Männlich,1
FONZ,Spiez/Faulensee,46.671,7.70914,BE08,BE75,BE,older,Weiblich,1
FOPS,Reigoldswil,47.39694,7.69164,BL05,BA23,BL,older,Weiblich,1
FPFX,Fischingen,47.41407,8.96914,TG03,TG19,TG,older,Weiblich,2
FPKO,Blumenstein,46.74056,7.52107,BE05,BE72,BE,younger,Weiblich,1
FPZN,Merenschwand,47.26031,8.37408,AG07,AG59,AG,younger,Männlich,1
FQAF,Grindelwald,46.62478,8.03534,BE10,BE112,BE,younger,Männlich,1
FQWL,Meiringen,46.72734,8.18692,BE17,BE85,BE,younger,Weiblich,3
FQYS,Luzern,47.05392,8.30993,LU02,LU25,LU,younger,Männlich,1
FRBT,Saanen/Gstaad,46.4787,7.27587,BE20,BE93,BE,older,Männlich,2
FRFQ,Lauterbrunnen,46.5867,7.90705,BE16,BE110,BE,older,Weiblich,1
FRWW,Zug,47.1682,8.51756,ZG02,ZG5,ZG,older,Weiblich,2
FSTE,Grabs,47.18279,9.44287,SG05,SG33,SG,older,Männlich,1
FSUY,Igis,46.96387,9.55825,GR04,GR5,GR,older,Männlich,1
FSWB,Gelterkinden,47.46393,7.85508,BL02,BA19,BL,older,Männlich,2
FTDY,Burgdorf,47.05618,7.6229,BE07,BE38,BE,older,Weiblich,1
FTFT,Langnau,46.94066,7.78536,BE15,BE52,BE,younger,Weiblich,1
FVIK,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,younger,Weiblich,1
FVIZ,Zermatt,46.01962,7.74724,VS11,WS20,VS,older,Weiblich,3
FVTU,Niederbipp,47.26651,7.6963,BE19,BE8,BE,older,Weiblich,3
FWAG,Stans/Oberdorf,46.95722,8.36617,NW01,UW2,NW,older,Weiblich,2
FWND,Salgesch,46.31142,7.56975,VS06,WS1,VS,younger,Männlich,1
FXCQ,Glarus,47.04119,9.06642,GL02,GL5,GL,older,Weiblich,1
FXKN,Sumiswald,47.02803,7.74515,BE22,BE42,BE,older,Männlich,2
FYQI,Churwalden,46.79686,9.53858,GR02,GR18,GR,younger,Männlich,2
FZPW,Maur,47.3403,8.66926,ZH04,ZH40,ZH,older,Weiblich,1
GAUD,Einsiedeln,47.12706,8.75399,SZ01,SZ7,SZ,older,Männlich,1
GAZV,Oberägeri,47.14153,8.57767,ZG01,ZG7,ZG,older,Weiblich,1
GBTH,Murten,46.92725,7.11826,FR05,FR1,FR,younger,Weiblich,1
GDJE,Zürich,47.3695,8.53885,ZH07,ZH37,ZH,younger,Weiblich,2
GFKH,Innerthal,47.10615,8.91949,SZ02,SZ8,SZ,older,Weiblich,1
GFPM,Gränichen,47.35755,8.10045,AG05,AG36,AG,younger,Weiblich,2
GFYZ,Obersaxen,46.74558,9.10069,GR05,GR25,GR,older,Männlich,1
GGLE,Oberriet,47.32008,9.56447,SG07,SG16,SG,older,Männlich,1
GGSX,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,younger,Männlich,2
GHGD,Brugg,47.48281,8.20683,AG03,AG29,AG,younger,Männlich,1
GHLF,Horgen,47.25917,8.59868,ZH03,ZH55,ZH,younger,Weiblich,2
GHMK,Stans/Oberdorf,46.95722,8.36617,NW01,UW2,NW,older,Männlich,1
GHXY,Basel,47.55902,7.58877,BS01,BA1,BS,older,Männlich,3
GIIR,Innerthal,47.10615,8.91949,SZ02,SZ8,SZ,younger,Weiblich,1
GIOH,Ermatingen,47.67067,9.08441,TG02,TG8,TG,older,Weiblich,1
GIQG,Adelboden,46.49315,7.55847,BE02,BE104,BE,younger,Männlich,1
GIWV,Reckingen,46.46967,8.24325,VS04,WS32,VS,younger,Weiblich,3
GJCI,Bosco/Gurin,46.3165,8.49157,TI01,TI1,TI,older,Weiblich,1
GKBE,Zofingen,47.28908,7.94494,AG11,AG47,AG,younger,Männlich,2
GKBV,Frutigen,46.58837,7.64741,BE09,BE102,BE,younger,Männlich,2
GMMO,Münchenbuchsee,47.02124,7.45048,BE18,BE34,BE,younger,Weiblich,1
GMWW,Winterthur,47.49887,8.72867,ZH06,ZH21,ZH,younger,Männlich,1
GNBU,Sursee,47.17131,8.10738,LU04,LU6,LU,younger,Männlich,1
GNMQ,Plaffeien,46.74049,7.28816,FR06,FR12,FR,younger,Männlich,1
GOAU,Bern,46.93849,7.44783,BE03,BE47,BE,older,Weiblich,2
GOLW,Blatten,46.42061,7.81976,VS01,WS7,VS,younger,Weiblich,2
GOOB,Oensingen,47.29075,7.71757,SO02,SO19,SO,older,Männlich,1
GOQI,Sursee,47.17131,8.10738,LU04,LU6,LU,older,Weiblich,1
GOSY,Churwalden,46.79686,9.53858,GR02,GR18,GR,older,Weiblich,1
GOYC,Unterschächen,46.86328,8.76984,UR03,UR5,UR,younger,Weiblich,1
GPAK,Ebnat-Kappel,47.26259,9.12339,SG02,SG26,SG,younger,Weiblich,1
GPGA,Weinfelden,47.56687,9.10911,TG06,TG9,TG,older,Weiblich,2
GRAR,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,younger,Weiblich,2
GRPJ,Wilchingen,47.66697,8.46779,SH02,SH2,SH,older,Weiblich,2
GSLS,Bern,46.93849,7.44783,BE03,BE47,BE,older,Männlich,1
GUTF,Solothurn,47.2101,7.52971,SO04,SO25,SO,younger,Männlich,1
GVNN,Obersaxen,46.74558,9.10069,GR05,GR25,GR,younger,Männlich,2
GVUS,Visp,46.29263,7.88375,VS10,WS12,VS,younger,Männlich,2
GWOX,Stans/Oberdorf,46.95722,8.36617,NW01,UW2,NW,older,Männlich,1
GXEB,Saas-Grund,46.12329,7.938,VS05,WS21,VS,younger,Männlich,1
GYBZ,Escholzmatt,46.91403,7.93484,LU01,LU31,LU,younger,Weiblich,1
GYUD,St. Gallen,47.43771,9.37291,SG10,SG7,SG,older,Weiblich,2
GZMD,Burgdorf,47.05618,7.6229,BE07,BE38,BE,younger,Männlich,2
HBBQ,Laufen,47.42059,7.50092,BL03,BE3,BL,older,Männlich,2
HCIF,Lauterbrunnen,46.5867,7.90705,BE16,BE110,BE,younger,Männlich,3
HDLV,Liestal,47.48499,7.73451,BL04,BA14,BL,younger,Weiblich,1
HDNF,Chur/Masans,46.85105,9.52757,GR01,GR17,GR,younger,Männlich,1
HEHU,Oberriet,47.32008,9.56447,SG07,SG16,SG,older,Männlich,2
HEVH,Aesch,47.46817,7.59647,BL01,BA7,BL,younger,Männlich,1
HFCS,Salgesch,46.31142,7.56975,VS06,WS1,VS,younger,Weiblich,1
HFSV,Bern,46.93849,7.44783,BE03,BE47,BE,younger,Männlich,1
HGBP,Wilchingen,47.66697,8.46779,SH02,SH2,SH,younger,Weiblich,1
HGYK,Mels,47.04644,9.41935,SG06,SG41,SG,younger,Männlich,1
HHHE,St. Niklaus,46.17598,7.80251,VS08,WS17,VS,younger,Männlich,1
HIGZ,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,older,Männlich,2
HKRF,Frauenfeld,47.55716,8.89486,TG04,TG15,TG,younger,Weiblich,2
HLFM,Engelberg,46.82197,8.40447,OW01,UW12,OW,younger,Weiblich,1
HMXR,Thun,46.75663,7.6245,BE23,BE74,BE,younger,Männlich,1
HPNB,Bülach,47.5188,8.54061,ZH02,ZH16,ZH,younger,Männlich,2
HPYW,Hospental,46.61895,8.56797,UR02,UR11,UR,older,Männlich,2
HQPB,Reckingen,46.46967,8.24325,VS04,WS32,VS,older,Weiblich,1
HUBI,Langenthal,47.21231,7.78712,BE14,BE11,BE,older,Männlich,2
HUDO,Fischingen,47.41407,8.96914,TG03,TG19,TG,older,Männlich,1
HUYI,Blumenstein,46.74056,7.52107,BE05,BE72,BE,older,Weiblich,2
HVLO,Igis,46.96387,9.55825,GR04,GR5,GR,younger,Männlich,2
HWDZ,Horgen,47.25917,8.59868,ZH03,ZH55,ZH,older,Männlich,1
HWOL,Huttwil,47.11406,7.84841,BE11,BE26,BE,older,Weiblich,1
HWTX,Lungern,46.7851,8.1576,OW02,UW10,OW,older,Männlich,1
HWYK,Davos/Frauenkirch,46.79752,9.82558,GR03,GR24,GR,younger,Männlich,2
HXHY,Glarus,47.04119,9.06642,GL02,GL5,GL,younger,Weiblich,1
HXVS,Huttwil,47.11406,7.84841,BE11,BE26,BE,older,Weiblich,1
HXZZ,Sarnen-Kägiswil,46.89607,8.24438,OW03,UW7,OW,younger,Weiblich,1
HZBG,Murten,46.92725,7.11826,FR05,FR1,FR,older,Weiblich,1
HZRN,Wil,47.46165,9.04346,SG12,SG2,SG,younger,Weiblich,1
HZVF,Lauterbrunnen,46.5867,7.90705,BE16,BE110,BE,older,Männlich,1
IATI,Obersaxen,46.74558,9.10069,GR05,GR25,GR,older,Weiblich,1
IBYY,Oberriet,47.32008,9.56447,SG07,SG16,SG,older,Weiblich,1
